tick,side,price,qty,fee,inventory_after
27,buy,87.59123203958691,0.1,0.02189780800989673,0.1
28,sell,88.471545929432,0.1,0.022117886482358,0.0
159,buy,87.98915783672469,0.1,0.021997289459181172,0.1
325,buy,87.50029830759868,0.1,0.021875074576899675,0.2
435,sell,88.20396779957336,0.1,0.022050991949893343,0.1
440,sell,88.20396779957336,0.1,0.022050991949893343,0.0
545,buy,87.51364825961791,0.1,0.02187841206490448,0.1
644,sell,89.06232643207125,0.1,0.02226558160801781,0.0
662,sell,89.22012505916925,0.1,0.022305031264792313,-0.1
682,buy,88.37808997306114,0.1,0.022094522493265285,0.0
701,buy,89.34565893818417,0.1,0.022336414734546044,0.1
728,sell,91.27160977436291,0.1,0.02281790244359073,0.0
754,sell,91.74911470848087,0.1,0.02293727867712022,-0.1
775,sell,92.96686368828696,0.1,0.02324171592207174,-0.2
794,buy,92.74634003061225,0.1,0.02318658500765306,-0.1
922,sell,92.06691927201206,0.1,0.023016729818003016,-0.2
946,sell,92.24637096232705,0.1,0.02306159274058176,-0.30000000000000004
986,sell,92.5634872156398,0.1,0.02314087180390995,-0.4
1125,buy,92.87719001753837,0.1,0.023219297504384593,-0.30000000000000004
1173,sell,93.95799384597487,0.1,0.023489498461493716,-0.4
1188,sell,94.60094565912479,0.1,0.0236502364147812,-0.5
1221,sell,93.99755771435942,0.1,0.023499389428589854,-0.6
1225,sell,93.99755771435942,0.1,0.023499389428589854,-0.7
1230,buy,93.08741186246183,0.1,0.02327185296561546,-0.6
1286,buy,93.13130143035957,0.1,0.023282825357589895,-0.5
1301,buy,93.32936522090985,0.1,0.023332341305227464,-0.4
1336,sell,94.09410809541815,0.1,0.023523527023854542,-0.5
1347,buy,93.16039493416667,0.1,0.02329009873354167,-0.4
1358,sell,93.35814211315953,0.1,0.023339535528289886,-0.5
1362,buy,92.42920537571516,0.1,0.023107301343928792,-0.4
